combination,threshold,weight,denominator,numerator_mass,declared_mass,settled_mass,share_of_declared,share_of_settled,abstained_share,eligible_for_extrema
code_order_minimum,3,onet_importance,screen_only,3721.160000000005,33262.049999999996,33262.049999999996,0.1118740426401862,0.1118740426401862,0.0,True
code_order_minimum,3,onet_importance,screen_and_mixed,3833.240000000005,38601.74000000001,38601.74000000001,0.09930225943182881,0.09930225943182881,0.0,True
code_order_minimum,3,russian_employment,whole_corpus,0.051675668401687656,0.8923385417284052,0.8923385417284052,0.05791038488777482,0.05791038488777482,0.0,True
code_order_minimum,3,russian_employment,screen_only,0.0486382648415541,0.39106560554249964,0.39106560554249964,0.12437367068904315,0.12437367068904315,0.0,True
code_order_minimum,3,russian_employment,screen_and_mixed,0.05017945449017903,0.4527023914672119,0.4527023914672119,0.11084424433356102,0.11084424433356102,0.0,True
code_order_minimum,4,one_task_one_vote,whole_corpus,8.0,18796.0,18796.0,0.00042562247286656737,0.00042562247286656737,0.0,True
code_order_minimum,4,one_task_one_vote,screen_only,8.0,8990.0,8990.0,0.0008898776418242492,0.0008898776418242492,0.0,True
code_order_minimum,4,one_task_one_vote,screen_and_mixed,8.0,10331.0,10331.0,0.0007743684057690447,0.0007743684057690447,0.0,True
code_order_minimum,4,onet_importance,whole_corpus,26.339999999999996,71681.99999999988,71681.99999999988,0.0003674562651711732,0.0003674562651711732,0.0,True
code_order_minimum,4,onet_importance,screen_only,26.339999999999996,33262.049999999996,33262.049999999996,0.0007918934641731343,0.0007918934641731343,0.0,True
code_order_minimum,4,onet_importance,screen_and_mixed,26.339999999999996,38601.74000000001,38601.74000000001,0.0006823526607867932,0.0006823526607867932,0.0,True
code_order_minimum,4,russian_employment,whole_corpus,0.00022670800999675998,0.8923385417284052,0.8923385417284052,0.00025406053800796323,0.00025406053800796323,0.0,True
code_order_minimum,4,russian_employment,screen_only,0.00022670800999675998,0.39106560554249964,0.39106560554249964,0.0005797186118739919,0.0005797186118739919,0.0,True
code_order_minimum,4,russian_employment,screen_and_mixed,0.00022670800999675998,0.4527023914672119,0.4527023914672119,0.0005007881872724321,0.0005007881872724321,0.0,True
exact_code_unanimity,2,one_task_one_vote,whole_corpus,1256.0,18796.0,9433.0,0.06682272824005107,0.13314958125728824,0.49813790168120875,True
exact_code_unanimity,2,one_task_one_vote,screen_only,1173.0,8990.0,2317.0,0.13047830923248052,0.5062580923608114,0.7422691879866519,False
exact_code_unanimity,2,one_task_one_vote,screen_and_mixed,1217.0,10331.0,2714.0,0.11780079372761591,0.44841562269712604,0.7372955183428516,False
exact_code_unanimity,2,onet_importance,whole_corpus,4622.800000000005,71681.99999999988,36766.35999999998,0.06449038810301069,0.12573450295324332,0.4870907619765068,True
exact_code_unanimity,2,onet_importance,screen_only,4297.1700000000055,33262.049999999996,8625.720000000005,0.12919137575705664,0.49818102141038695,0.7406738309875667,False
exact_code_unanimity,2,onet_importance,screen_and_mixed,4476.110000000005,38601.74000000001,10246.550000000005,0.11595617192385638,0.43684069272096493,0.7345573023392209,False
exact_code_unanimity,2,russian_employment,whole_corpus,0.05379637377119281,0.8923385417284052,0.4816480120362457,0.060286955292766495,0.11169229899602377,0.4602407163728208,True
